6.299,4.25,6.299,4.25,-1.701,-3.75,9.299,7.25,62.4779,-18.0,-18.0,-1.701,-3.75
6.496,4.4675,4.9154,5.4126,-4.6652,-1.6422,9.299,7.25,54.9018,-16.8179,-16.695,-3.0846,-2.5874
6.7109,4.6509,5.373,5.4955,-2.1574,-2.6959,9.299,7.25,46.9489,-15.529,-15.5948,-2.627,-2.5045
6.8877,4.8338,5.5081,5.6902,-2.5719,-2.2992,9.299,7.25,40.7297,-14.4678,-14.4973,-2.4919,-2.3098
7.0581,5.0017,5.6936,5.8441,-2.2691,-2.2039,9.299,7.25,35.2125,-13.4454,-13.4895,-2.3064,-2.1559
7.2153,5.1587,5.854,5.9923,-2.1225,-2.055,9.299,7.25,30.465,-12.5025,-12.5479,-2.146,-2.0077
7.3615,5.3047,6.0065,6.1293,-1.9567,-1.9253,9.299,7.25,26.351,-11.625,-11.6717,-1.9935,-1.8707
7.4974,5.4407,6.1478,6.2573,-1.8121,-1.7994,9.299,7.25,22.7929,-10.8101,-10.8559,-1.8522,-1.7427
7.6236,5.5672,6.2793,6.3767,-1.6782,-1.6811,9.299,7.25,19.7146,-10.0528,-10.0966,-1.7207,-1.6233
7.7409,5.685,6.4013,6.4881,-1.5556,-1.5696,9.299,7.25,17.0519,-9.3489,-9.3899,-1.5987,-1.5119
7.8499,5.7946,6.5147,6.592,-1.4425,-1.4648,9.299,7.25,14.7486,-8.6947,-8.7324,-1.4853,-1.408
7.9513,5.8966,6.6199,6.6889,-1.3382,-1.3664,9.299,7.25,12.7563,-8.0864,-8.1205,-1.3801,-1.3111
8.0455,5.9914,6.7176,6.7792,-1.2418,-1.2743,9.299,7.25,11.033,-7.5209,-7.5513,-1.2824,-1.2208
8.1332,6.0797,6.8083,6.8634,-1.1527,-1.1879,9.299,7.25,9.5425,-6.9952,-7.0218,-1.1917,-1.1366
8.2147,6.1618,6.8925,6.9419,-1.0702,-1.1072,9.299,7.25,8.2532,-6.5063,-6.5292,-1.1075,-1.0581
8.2904,6.2382,6.9708,7.015,-0.9937,-1.0316,9.299,7.25,7.1381,-6.0517,-6.071,-1.0292,-0.985
8.3609,6.3092,7.0434,7.0832,-0.923,-0.961,9.299,7.25,6.1736,-5.629,-5.6449,-0.9566,-0.9168
8.4264,6.3752,7.111,7.1466,-0.8573,-0.8951,9.299,7.25,5.3395,-5.2359,-5.2485,-0.889,-0.8534
8.4873,6.4367,7.1737,7.2057,-0.7965,-0.8335,9.299,7.25,4.618,-4.8703,-4.8799,-0.8263,-0.7943
8.544,6.4938,7.232,7.2607,-0.74,-0.7761,9.299,7.25,3.9939,-4.5303,-4.5371,-0.768,-0.7393
8.5967,6.5469,7.2861,7.312,-0.6877,-0.7225,9.299,7.25,3.4542,-4.2141,-4.2183,-0.7139,-0.688
8.6457,6.5964,7.3364,7.3597,-0.6391,-0.6725,9.299,7.25,2.9874,-3.92,-3.9219,-0.6636,-0.6403
8.6913,6.6423,7.3832,7.4041,-0.594,-0.6259,9.299,7.25,2.5837,-3.6464,-3.6462,-0.6168,-0.5959
8.7337,6.685,7.4266,7.4454,-0.5521,-0.5825,9.299,7.25,2.2345,-3.392,-3.3899,-0.5734,-0.5546
8.7731,6.7247,7.467,7.4839,-0.5133,-0.542,9.299,7.25,1.9326,-3.1553,-3.1515,-0.533,-0.5161
8.8098,6.7617,7.5046,7.5197,-0.4771,-0.5043,9.299,7.25,1.6714,-2.9352,-2.9299,-0.4954,-0.4803
8.844,6.796,7.5395,7.5531,-0.4436,-0.4692,9.299,7.25,1.4455,-2.7305,-2.7239,-0.4605,-0.4469
8.8757,6.828,7.5719,7.5841,-0.4125,-0.4365,9.299,7.25,1.2501,-2.54,-2.5323,-0.4281,-0.4159
8.9052,6.8576,7.602,7.613,-0.3835,-0.406,9.299,7.25,1.0812,-2.3629,-2.3542,-0.398,-0.387
8.9327,6.8852,7.63,7.6399,-0.3566,-0.3777,9.299,7.25,0.9351,-2.1981,-2.1886,-0.37,-0.3601
8.9582,6.9109,7.6561,7.6649,-0.3316,-0.3513,9.299,7.25,0.8087,-2.0448,-2.0346,-0.3439,-0.3351
8.982,6.9348,7.6803,7.6882,-0.3084,-0.3267,9.299,7.25,0.6994,-1.9022,-1.8914,-0.3197,-0.3118
9.0041,6.9569,7.7028,7.7098,-0.2868,-0.3038,9.299,7.25,0.6049,-1.7696,-1.7583,-0.2972,-0.2902
9.0247,6.9776,7.7237,7.73,-0.2667,-0.2826,9.299,7.25,0.5231,-1.6462,-1.6346,-0.2763,-0.27
9.0438,6.9967,7.7432,7.7487,-0.2481,-0.2628,9.299,7.25,0.4524,-1.5314,-1.5196,-0.2568,-0.2513
9.0616,7.0146,7.7613,7.7662,-0.2307,-0.2444,9.299,7.25,0.3913,-1.4247,-1.4126,-0.2387,-0.2338
9.0781,7.0311,7.7781,7.7824,-0.2146,-0.2272,9.299,7.25,0.3384,-1.3253,-1.3132,-0.2219,-0.2176
9.0935,7.0465,7.7937,7.7976,-0.1996,-0.2113,9.299,7.25,0.2926,-1.2329,-1.2208,-0.2063,-0.2024
